序号,物质名称,GB 标准号,日期和状态,分类,描述,标签
495,苯乙酸苯乙酯,GB28360-2012,,食品用香料,具有特殊香气，适合于调味品。,安全
496,苯乙酸乙酯,GB28361-2012,,食品用香料,具有芳香气味，适合于糕点和甜点。,安全
497,苯氧乙酸烯丙酯,GB28362-2012,,食品用香料,具有特殊香气，适合于调味品。,安全
498,二氢香豆素,GB28363-2012,,食品用香料,具有特殊香气，常用于香料和调味品。,安全
499,2-甲基-2-戊烯酸(草莓酸),GB28364-2012,,食品用香料,具有水果香味，适合于饮料和甜点。,安全
500,"4-羟基-2,5-二甲基-3(2H)呋喃酮",GB28365-2012,,食品用香料,具有特殊香气，适合于调味品。,安全
501,2-乙基-4-羟基-5-甲基-3(2H)-呋喃酮,GB28366-2012,,食品用香料,具有特殊香气，常用于调味品。,安全
502,4-羟基-5-甲基-3(2H)呋喃酮,GB28367-2012,,食品用香料,具有特殊香气，适合于饮料和甜点。,安全
503,"2,3-戊二酮",GB28368-2012,,食品用香料,具有特殊香气，适用于多种食品。,安全
504,磷脂,GB1886.358-2022,,乳化剂,具有乳化作用，广泛用于调味品和食品加工。,安全
505,普鲁兰多糖,GB28402-2012,,增稠剂,可增加食品的黏稠度，适用于多种食品。,安全
506,瓜尔胶,GB28403-2012,,增稠剂,增加食品黏稠度，适合于多种食品。,安全
507,氨水及液氨,GB29201-2020,,加工助剂,在食品加工中起特定作用。,安全
508,氮气,GB29202-2012,,其他,在食品加工中有特殊用途，常用于包装和保存。,安全
509,碘化钾,GB29203-2012,,营养强化剂,补充碘元素，预防缺碘病。,安全
510,硅胶,GB29204-2012,,吸附剂,可吸附食品中的杂质，延长保质期。,安全
511,硫酸,GB29205-2012,,加工助剂,用于食品加工，需遵循相关标准。,安全
512,硫酸铵,GB29206-2012,,营养强化剂,补充氮元素，适合于食品加工。,安全
513,硫酸镁,GB29207-2012,,营养强化剂,补充镁元素，促进新陈代谢。,安全
514,硫酸锰,GB29208-2012,,营养强化剂,补充锰元素，支持骨骼健康。,安全
515,硫酸钠,GB29209-2012,,加工助剂,在食品加工中起作用，需谨慎使用。,安全
516,硫酸铜,GB29210-2012,,营养强化剂,补充铜元素，促进红血球生成。,安全
517,硫酸亚铁,GB29211-2012,,营养强化剂,补充铁元素，预防贫血。,安全
518,羰基铁粉,GB29212-2012,,其他,有特定用途，主要用于食品加工。,安全
519,硝酸钾,GB29213-2012,,护色剂、防腐剂,可用于食品的护色和防腐。,安全
520,亚铁氰化钠,GB29214-2012,,抗结剂,防止食品结块，保持粉末流动性。,安全
521,植物活性炭（木质活性炭）,GB29215-2012,,吸附剂,吸附食品中的杂质，改善口感。,安全
522,丙二醇,GB29216-2012,,溶剂、保湿剂,在食品中有多种用途，常用于食品添加剂。,安全
523,环己基氨基磺酸钙,GB29217-2012,,甜味剂,具有甜度，适合于低热量食品。,安全
524,甲醇,GB29218-2012,,加工助剂,在特定情况下用于食品加工，需谨慎使用。,安全
525,山梨醇酐三硬脂酸酯（司盘65）,GB29220-2012,,乳化剂,具有乳化作用，改善食品质地。,安全
526,聚氧乙烯（20）山梨醇酐单月桂酸酯（吐温20）,GB29221-2012,,乳化剂,可改善食品的乳化状态，适用于多种食品。,安全
527,聚氧乙烯（20）山梨醇酐单棕榈酸酯（吐温40）,GB29222-2012,,乳化剂,具有乳化作用，适合于调味品。,安全
528,脱氢乙酸,GB29223-2012,,防腐剂,防止食品腐败变质，适合于多种食品。,安全
529,凹凸棒粘土,GB29225-2012,,吸附剂,可吸附食品中的杂质，改善口感。,安全
530,天门冬氨酸钙,GB29226-2012,,营养强化剂,补充钙元素，促进骨骼健康。,安全
531,丙酮,GB29227-2012,,加工助剂,在食品加工中有特定用途，需谨慎使用。,安全
532,醋酸酯淀粉,GB29925-2013,,增稠剂,可增加食品的黏稠度，适合于多种食品。,安全
533,磷酸酯双淀粉,GB29926-2013,,增稠剂,具有良好的增稠性能，可改善食品质地。,安全
534,氧化淀粉,GB29927-2013,,增稠剂,在食品中可增加黏稠度，适合于调味品。,安全
535,酸处理淀粉,GB29928-2013,,增稠剂,可使食品具有一定的黏稠度，适用于多种食品。,安全
536,乙酰化二淀粉磷酸酯,GB29929-2013,,增稠剂,能增加食品的黏稠度和稳定性，适合于多种食品。,安全
537,羟丙基淀粉,GB29930-2013,,增稠剂,可改善食品的黏稠度和口感，适合于多种食品。,安全
538,羟丙基二淀粉磷酸酯,GB29931-2013,,增稠剂,具有良好的增稠作用和稳定性，适用于多种食品。,安全
539,乙酰化双淀粉己二酸酯,GB29932-2013,,增稠剂,可增加食品的黏稠度和韧性，适合于多种食品。,安全
540,氧化羟丙基淀粉,GB29933-2013,,增稠剂,在食品中起到增稠的效果，适合于调味品。,安全
541,辛烯基琥珀酸铝淀粉,GB29934-2013,,乳化剂、增稠剂,用于乳化和增稠食品，改善产品质感与稳定性。,安全
542,磷酸化二淀粉磷酸酯,GB29935-2013,,增稠剂,能够显著提高食品的黏稠度，适用于多种食品应用。,安全
543,淀粉磷酸酯钠,GB29936-2013,,增稠剂,赋予食品适度的黏稠度，增强口感体验。,安全
544,羧甲基淀粉钠,GB29937-2013,,增稠剂,提升食品的黏稠度，常用于调味品和饮料中。,安全
545,琥珀酸二钠,GB29939-2013,,调味剂,用于增强食品风味，提升整体口感。,安全
546,柠檬酸亚锡二钠,GB29940-2013,,抗氧化剂,有效防止食品氧化变质，延长保质期。,安全
547,脱乙酰甲壳素（壳聚糖）,GB29941-2013,,增稠剂、保鲜剂,增加食品黏稠度并具保鲜功能，延缓食品劣变。,安全
548,维生素E（dl-α-生育酚）,GB29942-2013,,抗氧化剂,具有良好的抗氧化作用，保护食品营养成分。,安全
549,棕榈酸视黄酯（棕榈酸维生素A）,GB29943-2013,,营养强化剂,补充食品中的维生素A，促进身体健康。,安全
550,"N-[N-(3,3-二甲基丁基)]-L-α-天门冬氨-L-苯丙氨酸1-甲酯（纽甜）",GB29944-2013,,甜味剂,具有高甜度且低热量，适合低卡食品使用。,安全
551,槐豆胶（刺槐豆胶）,GB29945-2013,,增稠剂,显著增加食品的黏稠度，适用于酱料和饮品。,安全
552,纤维素,GB1886.374-2024,,增稠剂、膳食纤维来源,用于增稠食品并提供膳食纤维，促进消化健康。,安全
553,聚丙烯酸钠,GB29948-2013,,增稠剂,具良好的增稠性能，广泛用于乳制品和调味料。,安全
554,阿拉伯胶,GB29949-2013,,增稠剂,用于增加食品的黏稠度，常见于糖果和饮料中。,安全
555,甘油,GB29950-2013,,保湿剂、溶剂,保持食品水分，提升质感并作为有效溶剂。,安全
556,柠檬酸脂肪酸甘油酯,GB29951-2013,,乳化剂,用于乳化多种食品，提升产品稳定性。,安全
557,γ-辛内酯,GB29952-2013,,食品用香料,具有独特的香气，常用于糕点和饮料调味。,安全
558,δ-辛内酯,GB29953-2013,,食品用香料,散发独特香味，增添食品的风味层次。,安全
559,δ-壬内酯,GB29954-2013,,食品用香料,提供独特香气，提升多种食品的香味。,安全
560,δ-十一内酯,GB29955-2013,,食品用香料,具有特殊的香味，广泛应用于饮料中。,安全
561,δ-突厥酮,GB29956-2013,,食品用香料,提供特殊的气味，增强食品的吸引力。,安全
562,二氢-β-紫罗兰酮,GB29957-2013,,食品用香料,散发独特香气，提升糕点的香味。,安全
563,l-薄荷醇丙二醇碳酸酯,GB29958-2013,,食品用香料,具有清新的薄荷香气，增添食品清凉感。,安全
564,"d,l-薄荷酮甘油缩酮",GB29959-2013,,食品用香料,散发浓郁的薄荷味，适合糖果和饮料使用。,安全
565,二烯丙基硫醚,GB29960-2013,,食品用香料,具有特殊气味，适合多种调味食品。,安全
566,"4,5-二氢-3(2H)噻吩酮(四氢噻吩-3-酮)",GB29961-2013,,食品用香料,提供独特香气，常见于调味品中。,安全
567,2-巯基-3-丁醇,GB29962-2013,,食品用香料,散发独特香味，增添食品风味。,安全
568,3-巯基-2-丁酮(3-巯基-丁-2-酮),GB29963-2013,,食品用香料,具有特殊气味，提升食品吸引力。,安全
569,二甲基二硫醚,GB29964-2013,,食品用香料,散发独特的味道，适合调味品使用。,安全
570,二丙基二硫醚,GB29965-2013,,食品用香料,提供特殊香气，常见于调味品中。,安全
571,烯丙基二硫醚,GB29966-2013,,食品用香料,具有特殊气味，增添食品的风味。,安全
572,柠檬酸三乙酯,GB29967-2013,,食品用香料,散发独特香味，常用于糕点和饮品中。,安全
573,肉桂酸苄酯,GB29968-2013,,食品用香料,具有浓郁的肉桂香气，适合多种甜品。,安全
574,肉桂酸肉桂酯,GB29969-2013,,食品用香料,提供肉桂味，增添食品香气。,安全
575,"2,5-二甲基吡嗪",GB29970-2013,,食品用香料,散发独特香气，提升产品风味。,安全
576,苯甲醛丙二醇缩醛,GB29971-2013,,食品用香料,具有芳香气味，增添食品吸引力。,安全
577,乙醛二乙缩醛,GB29972-2013,,食品用香料,散发独特香气，适合多种调味品。,安全
578,2-异丙基-4-甲基噻唑,GB29973-2013,,食品用香料,具有特殊气味，增强食品风味。,安全
579,糠基硫醇(咖啡醛),GB29974-2013,,食品用香料,散发特殊香味，适合甜品和饮料使用。,安全
580,二糠基二硫醚,GB29975-2013,,食品用香料,具有特殊气味，提升多种食品的香味。,安全
581,1-辛烯-3-醇,GB29976-2013,,食品用香料,具有独特的果香，常用于调味和香料配方。,安全
582,2-乙酰基吡咯,GB29977-2013,,食品用香料,散发独特的坚果和香草气息，提升食品的风味。,安全
583,2-己烯醛(叶醛),GB29978-2013,,食品用香料,具有鲜明的植物香气，常用于调味料和饮料中。,安全
584,氧化芳樟醇,GB29979-2013,,食品用香料,呈现出温暖的花香，常用于甜品和饮料中。,安全
585,异硫氰酸烯丙酯,GB29980-2013,,食品用香料,具有强烈的辛辣气味，常用于调味和香料中。,安全
586,N-乙基-2-异丙基-5-甲基-环己烷甲酰胺,GB29981-2013,,食品用香料,具有清新的香气，用于多种食品的风味增强。,安全
587,δ-己内酯,GB29982-2013,,食品用香料,散发出甜美的奶香，常用于乳制品和烘焙食品中。,安全
588,δ-十四内酯,GB29983-2013,,食品用香料,具有独特的果香气息，常用于饮料和甜点中。,安全
589,四氢芳樟醇,GB29984-2013,,食品用香料,展现出温和的香气，常用于调味和香水配方中。,安全
590,叶醇(顺式-3-己烯-1-醇),GB29985-2013,,食品用香料,具有清新的草本香气，适用于多种食品香味增强。,安全
591,6-甲基-5-庚烯-2-酮,GB29986-2013,,食品用香料,散发出浓郁的香气，常用于糕点和甜品中。,安全
592,胶基及其配料,GB1886.359-2022,,胶基糖果中基础剂物质,用于胶基糖果的生产，提供结构和口感。,安全
593,海藻酸钾（褐藻酸钾）,GB29988-2013,,增稠剂,具有良好的增稠特性，常用于乳制品和调味品。,安全
594,对羟基苯甲酸甲酯钠,GB30601-2014,,防腐剂,有效防止食品腐败和变质，延长保质期。,安全
595,对羟基苯甲酸乙酯钠,GB30602-2014,,防腐剂,具有广泛的防腐效果，适用于多种食品。,安全
596,乙酸钠,GB30603-2014,,酸度调节剂,用于调节食品酸度，改善风味。,安全
597,甘氨酸钙,GB30605-2014,,营养强化剂,为食品提供钙元素，增强营养价值。,安全
598,甘氨酸亚铁,GB30606-2014,,营养强化剂,补充铁元素，有助于预防贫血。,安全
599,酶解大豆磷脂,GB30607-2014,,乳化剂,改善食品的乳化特性，提升口感和稳定性。,安全
600,DL-苹果酸钠,GB30608-2014,,酸度调节剂,用于调节食品酸度，增强风味和稳定性。,安全
601,聚氧乙烯聚氧丙烯季戊四醇醚,GB30609-2014,,乳化剂,有效乳化食品，改善质地和外观。,安全
602,乙醇,GB30610-2014,,溶剂、食品用香料,可用于溶解其他成分，增强香味。,安全
603,异丙醇,GB30611-2014,,加工助剂,在食品加工中作为溶剂和助剂。,安全
604,聚二甲基硅氧烷及其乳液,GB30612-2014,,消泡剂,有效消除食品中的泡沫，提高加工效率。,安全
605,氧化钙,GB30614-2014,,加工助剂,用于提高食品加工过程中的效率。,安全
606,竹叶抗氧化物,GB30615-2014,,抗氧化剂,防止食品氧化，保持食品新鲜。,安全
607,决明胶,GB31619-2014,,增稠剂,增加食品黏稠度，改善口感。,安全
608,β-阿朴-8´-胡萝卜素醛,GB31620-2014,,着色剂,用于提供食品的黄色着色，改善外观。,安全
609,杨梅红,GB31622-2014,,着色剂,用于食品着色，提供鲜艳的红色。,安全
610,硬脂酸钾,GB31623-2014,,乳化剂,用于改善食品质地和稳定性。,安全
611,天然胡萝卜素,GB31624-2014,,着色剂,提供天然的橙色或黄色着色，改善外观。,安全
612,二氢茉莉酮酸甲酯,GB31625-2014,,食品用香料,具有浓郁的茉莉香气，常用于调味品和香水。,安全
613,水杨酸苄酯（柳酸苄酯）,GB31626-2014,,食品用香料,具有独特的香气，用于多种食品的香味增强。,安全
614,香芹酚,GB31627-2014,,食品用香料,具有强烈的香气，常用于调味料中。,安全
615,高岭土,GB31628-2014,,填充剂,用于改善食品质地和外观，增加产品稳定性。,安全
616,聚丙烯酰胺,GB31629-2014,,增稠剂,用于提高食品的粘稠度和口感。,安全
617,聚乙烯醇,GB31630-2014,,食品用助剂,用于提高食品的结构和口感。,安全
618,氯化铵,GB31631-2014,,调味剂,用于调节食品的风味，提升口感。,安全
619,镍,GB31632-2014,,食品添加剂,用于特定食品加工，提升营养成分。,安全
620,氢气,GB31633-2014,,加工助剂,用于食品的加工和保存。,安全
621,珍珠岩,GB31634-2014,,填充剂,用于改善食品的质地和口感。,安全
622,聚苯乙烯,GB31635-2014,,食品用塑料,用于食品包装和容器制造。,安全
623,γ-环状糊精,GB1886.353-2021,,食品添加剂,用于提高食品的溶解性和稳定性。,安全
624,"3-[(4-氨基-2,2-二氧-1H-2,1,3-苯并噻二嗪-5-基)氧]-2,2-二甲基-N-丙基丙酰胺",GB1886.354-2021,,食品添加剂,用于改善食品的风味和口感。,安全
625,β-环状糊精,GB1886.352-2021,,食品添加剂,用于增强食品的风味和提高稳定性。,安全
626,α-环状糊精,GB1886.351-2021,,食品添加剂,用于提升食品的溶解性和风味。,安全
627,五碳双缩醛（又名戊二醛）,GB1886.349-2021,,食品添加剂,用于特定食品的风味增强。,安全
628,氧化亚氮,GB1886.350-2021,,食品添加剂,用于改善食品的质感和口感。,安全
629,5-甲基-2-呋喃甲硫醇,GB1886.365-2023,,食品香料,具有特殊的香气，常用于调味料。,安全
630,6-甲基辛醛,GB1886.367-2023,,食品香料,具有浓烈的香气，广泛应用于食品中。,安全
631,"(2S,5R)-N-[4-(2-氨基-2-氧代乙基)苯基]-5-甲基-2-(丙基-2-)环己烷甲酰胺",GB1886.368-2023,,食品添加剂,用于改善食品的风味和质量。,安全
632,蓝锭果红,GB1886.369-2023,,着色剂,用于提供食品的鲜艳红色。,安全
633,ε-聚赖氨酸盐酸盐,GB1886.371-2023,,防腐剂,用于防止食品变质，延长保质期。,安全
634,L-蛋氨酰基甘氨酸盐酸盐,GB1886.372-2023,,营养强化剂,提供重要氨基酸，增强营养价值。,安全
635,甲醇钠,GB1886.373-2023,,食品添加剂,用于特定食品的加工和保鲜。,安全
636,花生四烯酸油脂（发酵法）,GB1903.65-2024,,营养强化剂,提高食品的营养价值。,安全
637,二十二碳六烯酸油脂（发酵法）,GB1903.66-2024,,营养强化剂,提供重要的脂肪酸，增强营养。,安全
638,生产通用卫生规范,GB31647-2018,,食品安全标准,确保食品生产过程的卫生和安全。,安全
639,中重金属限量试验,GB5009.74-2014,,检测标准,用于检测食品中的重金属含量。,安全
640,中铅的测定,GB5009.75-2014,,检测标准,用于评估食品中的铅含量，确保安全。,安全
641,中砷的测定,GB5009.76-2014,,检测标准,用于监测食品中砷的含量，确保安全。,安全
642,β-胡萝卜素,GB8821-2010,2011年12月21日被替代,营养添加剂,提供天然的橙色，用于增强食品颜色。,安全
643,山梨醇酐单硬脂酸酯（司盘60）,GB13481-2010,2011年12月21日被替代,乳化剂,用于改善食品质地和稳定性。,安全
644,山梨醇酐单油酸酯（司盘80）,GB13482-2010,2011年12月21日被替代,乳化剂,用于提升食品的口感和质感。,安全
645,活性白土,GB25571-2010,2011年12月21日被替代,吸附剂,用于去除食品中的杂质和异味。,安全
647,丁苯橡胶,GB29987-2013,2015年5月24日被替代,食品包装材料,用于制造食品包装材料。,安全
648,琼脂（琼胶）,GB1975-2010,2017年1月1日废止,增稠剂,用于食品的增稠和胶凝。,安全
649,乙基麦芽酚,GB12487-2010,2017年1月1日废止,食品香料,用于增添食品的风味。,安全
650,吗啉脂肪酸盐果蜡,GB12489-2010,2017年1月1日废止,食品添加剂,用于改善食品质感。,安全
651,滑石粉,GB25578-2010,2017年1月1日废止,填充剂,用于提升食品的外观和质地。,安全
652,稳定态二氧化氯溶液,GB25580-2010,2017年1月1日废止,消毒剂,用于食品加工环境的消毒。,安全
653,碳酸氢钾,GB25589-2010,2017年1月1日废止,食品添加剂,用于调节食品的酸碱度。,安全
654,复合膨松剂,GB25591-2010,2017年1月1日废止,膨松剂,用于提高食品的蓬松度。,安全
655,山梨糖醇,GB29219-2012,2017年1月1日废止,甜味剂,用于替代糖，降低热量。,安全
656,乙酸乙酯,GB29224-2012,2017年1月1日废止,溶剂,用于食品的提取和加工。,安全
657,六偏磷酸钠,GB1886.4-2015,2021年3月11日被替代,食品添加剂,用于食品的保鲜和稳定。,安全
658,二氧化硅,GB25576-2010,2021年3月11日被替代,抗结剂,用于防止食品结块。,安全
659,氨水,GB29201-2012,2021年3月11日被替代,食品添加剂,用于特定食品加工。,安全
660,碳酸钠,GB1886.1-2015,2021年8月22日被替代,食品添加剂,用于调节食品的酸碱度。,安全
661,磷酸氢钙,GB1886.3-2016,2021年8月22日被替代,营养强化剂,用于补充钙元素。,安全
662,二氧化钛,GB25577-2010,2021年8月22日被替代,着色剂,用于提供食品的白色和亮度。,安全
663,焦磷酸二氢二钠,GB25567-2010,2021年8月22日被替代,食品添加剂,用于改善食品的质感。,安全
664,焦磷酸钠,GB25557-2010,2021年8月22日被替代,食品添加剂,用于增稠和稳定食品。,安全
665,焦磷酸四钾,GB25562-2010,2021年8月22日被替代,食品添加剂,用于提升食品的质地。,安全
666,磷酸二氢铵,GB25569-2010,2021年8月22日被替代,营养强化剂,用于增加食品中的磷和氮。,安全
667,磷酸二氢钙,GB25559-2010,2021年8月22日被替代,营养强化剂,用于补充钙元素。,安全
668,磷酸二氢钾,GB25560-2010,2021年8月22日被替代,营养强化剂,用于提供钾元素。,安全
669,磷酸二氢钠,GB25564-2010,2021年8月22日被替代,食品添加剂,用于调节食品的酸碱度。,安全
670,磷酸氢二铵,GB30613-2014,2021年8月22日被替代,营养强化剂,用于提供氮和磷。,安全
671,磷酸氢二钾,GB25561-2010,2021年8月22日被替代,营养强化剂,用于提供钾元素。,安全
672,磷酸氢二钠,GB25568-2010,2021年8月22日被替代,食品添加剂,用于调节酸碱度。,安全
673,磷酸三钙,GB25558-2010,2021年8月22日被替代,营养强化剂,用于补充钙元素。,安全
674,磷酸三钾,GB25563-2010,2021年8月22日被替代,营养强化剂,用于提供钾元素。,安全
675,磷酸三钠,GB25565-2010,2021年8月22日被替代,食品添加剂,用于调节酸碱度。,安全
676,硫酸铝铵,GB25592-2010,2021年8月22日被替代,食品添加剂,用于提升食品的质地。,安全
677,三聚磷酸钠,GB25566-2010,2021年8月22日被替代,食品添加剂,用于改善食品的稳定性。,安全
678,β-环状糊精,GB1886.180-2016,2022年3月7日被替代,食品添加剂,用于提高食品的溶解性和稳定性。,安全
679,丁香酚,GB1886.129-2015,2022年12月30日被替代,食品香料,用于提供香气和风味。,安全
680,甜菊糖苷,GB8270-2014,2022年12月30日被替代,天然甜味剂,用于替代糖，降低热量。,安全
681,丙酸钙,GB25548-2010,2022年12月30日被替代,防腐剂,用于抑制微生物生长，延长食品保质期。,安全
682,靛蓝铝色淀,GB28318-2012,2022年12月30日被替代,着色剂,用于增添食品的颜色和视觉吸引力。,安全
683,磷脂,GB28401-2012,2022年12月30日被替代,乳化剂,用于改善食品的质地和稳定性。,安全
684,胶基及其配料,GB29987-2014,2022年12月30日被替代,增稠剂,用于增强食品的稠度和口感。,安全
685,萜烯树脂,GB29947-2013,2022年12月30日被替代,食品添加剂,用于改善食品的质感。,安全
686,乳酸链球菌素,GB1886.231-2016,2024年3月6日被替代,防腐剂,用于抑制微生物生长，延长食品保质期。,安全
687,辛烯基琥珀酸淀粉钠,GB28303-2012,2024年3月6日被替代,增稠剂,用于提高食品的稠度。,安全
688,β-胡萝卜素,GB8821-2011,2024年3月6日被替代,营养强化剂,用于提供维生素A，改善视觉健康。,安全
689,L-肉碱酒石酸盐,GB25550-2010,2024年3月6日被替代,营养补充剂,用于支持脂肪代谢。,安全
690,纤维素,GB29946-2013,2024年8月8日被替代,增稠剂,用于改善食品的质地和稠度。,安全
691,松香季戊四醇酯,GB1886.96-2016,2024年8月8日被替代,增稠剂,用于改善食品的质地。,安全
692,吗啉脂肪酸盐果蜡,GB1886.227-2016,2024年8月8日被替代,食品添加剂,用于提升食品的外观。,安全
693,氢氧化钙,GB25572-2010,2024年8月8日被替代,食品添加剂,用于调节食品的酸碱度。,安全
694,食品工业用酶制剂,GB1886.174-2016,2024年8月8日被替代,酶制剂,用于促进食品加工中的化学反应。,安全
695,甲基纤维素,GB1886.256-2016,2024年8月8日被替代,增稠剂,用于改善食品的质地和稳定性。,安全
696,喹啉黄,GB1886.104-2015,2024年8月8日被替代,着色剂,用于增添食品的颜色。,安全
697,乳糖醇（又名4-β-D吡喃半乳糖-D-山梨醇）,GB1886.98-2016,2024年8月8日被替代,甜味剂,用于替代糖，降低热量。,安全
698,花生四烯酸油脂（发酵法）,GB26401-2011,2024年8月8日被替代,营养补充剂,用于增加Omega-6脂肪酸。,安全
699,二十二碳六烯酸油脂（发酵法）,GB26400-2011,2024年8月8日被替代,营养补充剂,用于增加Omega-3脂肪酸。,安全
